BAY_SEG,Year,source,tnload,TN,TN%,,tpload,TP,TP%,,tssload,TSS,TSS%,,bodload,BOD,BOD%,,h2oload10e6m3
4,2021,GW,0.120818679,,0.04%,,0.684875105,,0.46%,,,,0.00%,,,,0.00%,,4.230722314
4,2021,IPS,198.6455067,,59.48%,,137.9154477,,93.33%,,3.151818037,,0.78%,,2.613899289,,2.56%,,1.025383916
4,2021,NPS,17.8137691,,5.33%,,5.942832741,,4.02%,,400.612177,,99.19%,,99.31519346,,97.40%,,21.31816657
4,2021,POR,0.122,333.9953123,0.04%,,,147.7680833,0.00%,,,403.8689742,0.00%,,,101.9645351,0.00%,,
5,2017,AD,8.357388599,,7.89%,,0.152586415,,0.86%,,,,0.00%,,,,0.00%,,21.56199023
5,2017,DPS,33.82430996,,31.94%,,6.903924085,,38.91%,,6.266222919,,0.30%,,13.49681511,,3.49%,,24.35002811
5,2017,GW,0.001507962,,0.00%,,0.014246271,,0.08%,,,,0.00%,,,,0.00%,,0.04756536
5,2017,NPS,63.73094666,105.9141532,60.17%,,10.67223291,17.74298968,60.15%,,2080.871836,2087.138059,99.70%,,373.1418209,386.638636,96.51%,,33.14858653
5,2018,AD,15.83918473,,10.21%,,0.279987311,,1.03%,,,,0.00%,,,,0.00%,,34.91594023
5,2018,DPS,42.92641226,,27.67%,,10.86302018,,39.84%,,8.089432171,,0.26%,,10.80751079,,1.88%,,25.69917205
5,2018,GW,0.001507962,,0.00%,,0.014246271,,0.05%,,,,0.00%,,,,0.00%,,0.04756536
5,2018,NPS,96.35919967,155.1263046,62.12%,,16.10983469,27.26708845,59.08%,,3147.217917,3155.307349,99.74%,,564.4826874,575.2901982,98.12%,,50.1545572
5,2019,AD,14.92930163,,6.50%,,0.272529014,,0.66%,,,,0.00%,,,,0.00%,,38.21982922
5,2019,DPS,45.85463594,,19.96%,,12.82663543,,31.00%,,9.591765805,,0.17%,,11.36731383,,1.14%,,27.61676512
5,2019,GW,0.001507962,,0.00%,,0.014246271,,0.03%,,,,0.00%,,,,0.00%,,0.04756536
