bayseg,YEAR,MONTH,entity,facname,source,tnloadtons,tploadtons,tssloadtons,bodloadtons
1,2022,4,PINELLAS,,Non-Point Source,2.2799485451,0.575453387,66.933701215,13.563491911
1,2022,4,PINELLAS PARK,,Non-Point Source,0.2272292839,0.0458853498,9.7011124328,1.5377578822
1,2022,4,SAFETY HARBOR,,Non-Point Source,0.2830768231,0.0626771467,8.5908567631,1.6394174895
1,2022,4,ST PETERSBURG,,Non-Point Source,0.1977561005,0.0402277867,7.6550279034,1.4139853295
1,2022,4,STONEBRIAR,,Non-Point Source,0.039582481,0.0023976421,1.4845321859,0.3138716711
1,2022,4,TARPON SPRINGS,,Non-Point Source,0.056499954,0.0149354552,1.4841147492,0.3243875977
1,2022,4,Tampa,,Non-Point Source,1.1505720683,0.2393593747,44.620097937,8.3833063043
1,2022,4,WESTCHASE,,Non-Point Source,0.0765128798,0.0144572147,1.8845281994,0.395224111
1,2022,4,WESTCHASE EAST,,Non-Point Source,0.0939594369,0.0181516322,2.4971722337,0.5055791112
1,2022,4,Clearwater,City of Clearwater East AWWTF,PS - Domestic - REUSE,0,0,0,0
1,2022,4,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - REUSE,0.128300585,0.0423556418,0.0205609912,0.0411219824
1,2022,4,Largo,City of Largo,PS - Domestic - REUSE,0.1452826493,0.0070971409,0.0208739439,0.0542722541
1,2022,4,Oldsmar,City of Oldsmar WRF,PS - Domestic - REUSE,0.0358174344,0.0005253224,0.0054920066,0.0095513158
1,2022,4,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - REUSE,0.4619406908,0.0276894274,0.0189098528,0.0398457613
1,2022,4,Pinellas Co.,On Top Of The World WWTP,PS - Domestic - REUSE,0.0640751839,0.0002248252,0.0019110143,0.0039344411
1,2022,4,St. Petersburg,St Pete Facilities,PS - Domestic - REUSE,0.3915090624,0.0243602868,0.0139417666,0.0459609819
1,2022,4,Hillsborough Co.,Van Dyke WWTP,PS - Domestic - REUSE,0.1298628448,0.0122370758,0.0089072592,0.0166490827
1,2022,4,Pinellas Co.,William E. Dunn WRF (Pinellas NW),PS - Domestic - REUSE,0.0269952983,0.0086669116,0.0142080517,0.0284161035
1,2022,4,Clearwater,City of Clearwater East AWWTF,PS - Domestic - SW,0.2909959216,0.0838462825,0.1479640279,0.2466067132
1,2022,4,Clearwater,City of Clearwater Northeast AWWTF,PS - Domestic - SW,0.188122116,0.3726264991,0.18088665,0.3617733001
1,2022,4,Largo,City of Largo,PS - Domestic - SW,1.091253483,0.1066167196,0.3135785871,0.8153043264
1,2022,4,Oldsmar,City of Oldsmar WRF,PS - Domestic - SW,0.0250362145,0.0018777161,0.0156476341,0.0312952682
1,2022,4,Hillsborough Co.,Northwest Regional WRF,PS - Domestic - SW,0.5836692695,0.2099161408,0.1433573644,0.3020744465
1,2022,4,Duke Energy,Duke Energy-Bartow Plant,PS - Industrial,0.1498167078,0,0.0617142688,0.2042955106
1,2022,5,Atmospheric Deposition,,Atmospheric Deposition,8.4786765133,0.1480003005,0,0
