year,month,bayseg,basin,entity,CLUCSID,tnloadtons,tploadtons,tssloadtons,bodloadtons
2022,9,1,02306647,FDACS (Agriculture),11,0.0062811466,0.0037516655,0.0418513606,0.0209784447
2022,9,1,02306647,HILLSBOROUGH,1,0.5455108088,0.1203352306,6.3195346708,1.5240340892
2022,9,1,02306647,HILLSBOROUGH,2,2.9692935032,0.6075939784,59.338499151,11.873641262
2022,9,1,02306647,HILLSBOROUGH,3,3.5928516237,0.8541260789,135.56607607,22.947922579
2022,9,1,02306647,HILLSBOROUGH,4,1.2759251189,0.2459528809,66.557331712,13.605557529
2022,9,1,02306647,HILLSBOROUGH,5,0.8297391951,0.1816550934,58.467455453,5.8706343606
2022,9,1,02306647,HILLSBOROUGH,7,0.4530456197,0.0771808902,9.432257098,3.7994514305
2022,9,1,02306647,HILLSBOROUGH,9,0.003740091,0.0000410268,0.0408051174,0.005260655
2022,9,1,02306647,HILLSBOROUGH,15,0.0327697648,0.0057893258,0.4572261141,0.1302973124
2022,9,1,02306647,HILLSBOROUGH,16,0,0,0,0
2022,9,1,02306647,HILLSBOROUGH,18,0.6267298808,0.1086412463,5.4787028159,2.4353007735
2022,9,1,02306647,HILLSBOROUGH,20,0.3456390669,0.0599149634,3.021319471,1.3430695397
2022,9,1,02306647,Tampa,1,0.0020495183,0.000452107,0.0237428879,0.0057258916
2022,9,1,02306647,Tampa,2,0.0012297966,0.0002516481,0.0245763132,0.0049177234
2022,9,1,02306647,Tampa,3,0.0168972344,0.0040169676,0.6375692638,0.1079244198
2022,9,1,02306647,Tampa,4,0.00466133,0.0008985383,0.2431535231,0.0497051063
2022,9,1,02306647,Tampa,7,0.0003854164,0.0000656596,0.0080242391,0.0032322812
2022,9,1,02306647,Tampa,16,0,0,0,0
2022,10,1,02306647,FDACS (Agriculture),8,0.0510323408,0.0005407623,0.5452299686,0.0706098649
2022,10,1,02306647,FDACS (Agriculture),10,0.0024912415,0.0009967631,0.0097273416,0.0056547536
2022,10,1,02306647,FDACS (Agriculture),11,0.0011453281,0.0006707565,0.007482563,0.0037507152
2022,10,1,02306647,HILLSBOROUGH,1,0.0994705102,0.0215146158,1.1298632978,0.272480534
2022,10,1,02306647,HILLSBOROUGH,2,0.5414322411,0.1086311211,10.609071052,2.1228764731
2022,10,1,02306647,HILLSBOROUGH,3,0.6551341941,0.1527083494,24.237723465,4.1028361791
2022,10,1,02306647,HILLSBOROUGH,4,0.2326570263,0.0439736701,11.899718922,2.4325240542
2022,10,1,02306647,HILLSBOROUGH,5,0.1512977924,0.0324779329,10.453338018,1.0496048593
2022,10,1,02306647,HILLSBOROUGH,7,0.0826100569,0.0137990943,1.6863838345,0.67930013
2022,10,1,02306647,HILLSBOROUGH,9,0.0006819824,7.3351333E-6,0.0072955062,0.0009405473
2022,10,1,02306647,HILLSBOROUGH,15,0.0059753632,0.0010350678,0.0817470007,0.0232957265
2022,10,1,02306647,HILLSBOROUGH,16,0,0,0,0
