Source,BaySeg,Basin,Fac Name,Year,Month,TNLoad (tons/mnth),TPLoad (tons/mnth),TSS Load (tons/mnth),BOD Load (tons/mnth),H2O Load (10e6m3/mnth),Entity
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,9,0.008874086,0.000617143,0.001383251,0.001500295,0.011583361,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,9,0.341043314,0.142305843,0.318961373,0.345950413,0.222582226,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,10,0.01670604,0.001086572,0.00249006,0.00373509,0.024643032,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,10,0.280025052,0.109278069,0.250428909,0.375643363,0.206532079,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,11,0.01399274,0.000460666,0.000734187,0.002202561,0.015671606,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,11,0.332581074,0.065695027,0.104701449,0.314104348,0.18624227,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2023,12,0.013256175,0.00019015,0.000543286,0.001702296,0.009857213,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2023,12,0.558653084,0.048080798,0.137373709,0.430437622,0.207705556,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,1,0.002048964,3.29852E-05,0.000100896,0.000246419,0.00211226,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,1,0.443942156,0.042880776,0.131164728,0.320344624,0.228828155,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,2,0.001865949,4.11428E-05,6.77647E-05,0.000170622,0.001317323,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,2,0.612653278,0.081051406,0.133496434,0.33612495,0.216260588,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,3,0.002561205,0.000209553,0.000244479,0.000265822,0.00211226,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,3,0.515086733,0.25286076,0.29500422,0.320758556,0.212399467,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,4,0.004784421,0.000144584,0.00026288,0.000696633,0.004769619,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,4,0.380475352,0.068987289,0.125431435,0.332393302,0.189649141,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,5,0.017497685,0.000558808,0.001047766,0.00284643,0.019010339,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,5,0.306749542,0.058778355,0.110209416,0.299402248,0.166633836,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,6,0.016501369,0.000423112,0.001090327,0.003840555,0.017715728,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,6,0.310987339,0.047844206,0.123290839,0.434278177,0.166936669,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,7,0.017179475,0.000577565,0.000823337,0.002285681,0.013377646,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,7,0.690192938,0.139223468,0.198467497,0.55096947,0.268726398,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,8,0.001893739,0.000315623,0.000512241,0.00048637,0.002816347,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,8,0.60441845,0.60441845,0.980941418,0.931398922,0.449441967,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,9,0.000769864,1.56476E-05,4.56911E-05,0.000130188,0.000681374,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,9,1.049580704,0.127997647,0.373753129,1.064940422,0.464470052,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,10,0.032783421,0.000786471,0.00206966,0.005215544,0.022530772,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,10,1.266942615,0.182362952,0.479902506,1.209354314,0.435360234,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,11,0.048129619,0.001502173,0.003725389,0.006819865,0.03270596,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,11,0.685178601,0.1283106,0.318210287,0.582530122,0.232802838,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater East AWWTF,2024,12,0.032597151,0.000565923,0.001924137,0.004233102,0.024643032,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater East AWWTF,2024,12,0.496718496,0.05174151,0.175921134,0.387026495,0.187756435,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,1,0.044126453,0.001240503,0.005050618,0.008860734,0.096459869,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,1,0.368257262,0.062115683,0.252899566,0.443683449,0.402502858,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,2,0.068138562,0.004731845,0.018138737,0.015772815,0.171706288,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,2,0.254047476,0.105853115,0.405770274,0.352843717,0.320094439,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,3,0.225940945,0.08532369,0.023833433,0.047666866,0.518911848,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,3,0.182919173,0.414462431,0.115771629,0.231543257,0.210052512,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,4,0.128300585,0.042355642,0.020560991,0.041121982,0.447662823,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,4,0.188122116,0.372626499,0.18088665,0.3617733,0.32819522,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,5,0.410537837,0.080220037,0.077860624,0.078647095,0.856169345,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,5,0.049516625,0.058053974,0.056346504,0.056915661,0.05163302,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,6,0.238781644,0.057787339,0.056697011,0.054516357,0.593476893,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,6,0.032897586,0.047769097,0.046867794,0.045065186,0.04088245,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,7,0.202117861,0.076084597,0.034847907,0.058079845,0.632269796,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,7,0.23332834,0.527000215,0.241374144,0.402290241,0.364951571,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,8,0.04872498,0.022096212,0.015297377,0.018885651,0.205593297,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,8,0.219707387,0.597808472,0.413867403,0.510947412,0.463523699,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,9,0.013463224,0.011368945,0.007928343,0.014959138,0.162848424,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,9,0.105527644,0.534673398,0.372864343,0.703517629,0.638220463,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,10,0.072994335,0.017695596,0.025253091,0.018432913,0.20066469,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,10,0.242460716,0.352670132,0.503289668,0.367364721,0.333267673,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,11,0.046146751,0.01538225,0.016023177,0.016023177,0.174431785,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,11,0.201291165,0.40258233,0.419356594,0.419356594,0.380433906,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2022,12,0.036912393,0.002651752,0.010288799,0.01092522,0.115470208,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2022,12,0.297850003,0.128383622,0.498128453,0.528940522,0.465870655,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,1,0.036912393,0.002651752,0.067884861,0.01092522,0.115470208,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,1,0.122291059,0.052711663,1.349418582,0.217172053,0.191276868,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,2,0.046498259,0.010063056,0.015036751,0.016887427,0.125917945,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,2,0.265368852,0.344583435,0.514894788,0.578266454,0.359311307,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,3,0.114447046,0.031355355,0.026129463,0.038671605,0.284450999,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,3,0.133143841,0.218866588,0.182388823,0.269935458,0.165460359,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,4,0.085713984,0.022023732,0.016666608,0.052777592,0.215995609,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,4,0.155925544,0.240385214,0.181913135,0.57605826,0.196462883,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,5,0.15768872,0.057656211,0.032800884,0.042987493,0.221787289,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,5,0.236950245,0.519821081,0.295728601,0.387569781,0.166633836,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,6,0.090126617,0.022604572,0.021875393,0.026833815,0.158760179,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,6,0.364890309,0.549106775,0.531393654,0.651842882,0.321381479,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,7,0.083926023,0.016750667,0.018132165,0.026248468,0.187991131,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,7,0.240986083,0.288588272,0.312389367,0.452220798,0.269899876,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,8,0.077092263,0.015518572,0.022026361,0.027366085,0.181654351,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,8,0.267930474,0.323604339,0.459309385,0.570657114,0.315665507,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,9,0.11852144,0.035721045,0.026338098,0.035721045,0.179201404,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,9,0.41309754,0.747018051,0.55079672,0.747018051,0.31229649,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,10,0.100895945,0.015344592,0.012822193,0.045613375,0.228828155,Clearwater
PS - Domestic - SW,1,206-1,City of Clearwater Northeast AWWTF,2023,10,0.164538002,0.150140927,0.125460227,0.44630933,0.186582958,Clearwater
PS - Domestic - REUSE,1,206-1,City of Clearwater Northeast AWWTF,2023,11,0.251091951,0.08268648,0.028505608,0.046498509,0.220083854,Clearwater
